  ,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16
  ,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1,s0,s1
1, ,Y, ,Y, , , ,Y, , , ,Y,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y,Y, , ,Y,Y, 
2, ,Y, ,Y, , , ,Y, , , ,Y,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y,Y, , ,Y,Y, 
3, ,Y, ,Y, , , ,Y, , , ,Y,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y,Y, , ,Y,Y, 
4, ,Y, ,Y, , , ,Y, , , ,Y,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y,Y, , ,Y,Y, 
5, ,Y, ,Y, , , , , , , , ,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y, , , ,Y,Y, 
6, ,Y, ,Y, , , , , , , , ,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y, , , ,Y,Y, 
7, ,Y, ,Y, , , ,Y, , , , ,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y, , , ,Y,Y, 
8, ,Y, ,Y, , , ,Y, , , , ,Y, , , ,Y, , ,Y,Y, ,Y, , ,Y, , , ,Y,Y, 
9, , ,Y, , ,Y,Y, , , ,Y, , , , , , , ,Y, , ,Y, , , , , ,Y,Y, , ,Y
10, , ,Y, , ,Y,Y, , , ,Y, , , , , , , ,Y, , ,Y, , , , , ,Y,Y, , ,Y
11, , ,Y, , ,Y,Y, , , ,Y, , , , , , , ,Y, , , , ,Y, , , ,Y,Y, , ,Y
12, , ,Y, , ,Y,Y, , , ,Y, , , , , , , ,Y, , , , , , , , ,Y,Y, , ,Y
13, ,Y,Y, ,Y, , , , , , , , , , , , , , ,Y, ,Y, , , , , , , ,Y, ,Y
14, ,Y,Y, ,Y, , , , , , , , , , , , , , ,Y, ,Y, , , , , , , ,Y, ,Y
15, ,Y,Y, ,Y, , , , , , , , , , , , , , ,Y, , , ,Y, , , , , ,Y, ,Y
16, ,Y,Y, ,Y, , , , , , , , , , , , , , ,Y, , , , , , , , , ,Y, ,Y
17,Y, , ,Y, , , , , ,Y, , ,Y, , , ,Y, , , ,Y, ,Y, , ,Y, , ,Y, ,Y, 
18,Y, , ,Y, , , , , ,Y, , ,Y, , , ,Y, , , ,Y, ,Y, , ,Y, , ,Y, ,Y, 
19,Y, , , , , ,Y, ,Y, , , , ,Y, , , , , , , , , ,Y,Y, , , ,Y, , ,Y
20,Y, , , , , ,Y, ,Y, , , , ,Y, , , , , , , , , ,Y,Y, , , ,Y, , ,Y
21,Y, , ,Y, , , , , ,Y, , ,Y, , , ,Y, , , ,Y, ,Y, , ,Y, , ,Y, ,Y, 
22,Y, , ,Y, , , , , ,Y, , ,Y, , , ,Y, , , ,Y, ,Y, , ,Y, , ,Y, ,Y, 
23,Y, , , , , ,Y, ,Y, , , , ,Y, , , , , , , , , ,Y,Y, , , ,Y, , ,Y
24,Y, , , , , ,Y, ,Y, , , , ,Y, , , , , , , , , ,Y,Y, , , ,Y, , ,Y
25, , ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , ,Y
26, , ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , ,Y
27, , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y, , ,Y
28, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y
29,Y, ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , ,Y
30,Y, ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , ,Y
31,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y, , ,Y
32,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y
